taxon_name,empire,kingdom,phylum,class,order,family,species
Achnanthes,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Acanthaceae,anceolata
Achnanthes,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Acanthaceae,minutissima
Achnanthes,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Acanthaceae,sp.
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,alpigena 
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,ambigua
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,granulata
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,herzogii
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,pusilla
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,sp.
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,debaryana 
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,globosa
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,gloeopara
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,grovei
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,sp.
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,dispersus limneticus 
