Taxon_name,empire,kingdom,phylum,class,order,family,genus,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17 ,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,
Achnanthes,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Acanthaceae,Achnanthes,"anceolata
",minutissima,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aulacoseira,Eukaryota,Chromista,Heterokontophyta,Cosinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,"alpigena


 

",ambigua ,granulata,herzogii,pusilla,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,"debaryana
 


",globosa, gloeopara, grovei, sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chroococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus," dispersus
 limneticus
 


", limneticus,microscopicus, mimimus, minutus,planctonicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cocconeis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyeae,Achnanthales,Cocconeidaceae,Cocconeis,"pediculus

",placentula,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cryptomonas,Eukaryota,Chromista,Cryptista,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Cryptomonas,"curvata



",erosa,marssonii ,ovata ,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Cyclotella,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,"distinguenda



",glomerata,meneghiniana,sp. ,striata ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Entomoneis,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Surirellales,Entomoneidaceae,Entomoneis,"paludosa
",sp. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Fragilaria,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,"brevistriata


",crotonensis,sp.,vaucheriae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Melosira,Eukaryota,Chromista,Heterokontophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,"herzogil 





",islandica,italica,lineata,sp.,sulcata,varians,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Navicula,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,"antonii














",bacillum,capitatoradiata,caroliniae,cincta,confervacea,eileeniae ,erifuga,exigua ,gregaria ,lanceolata,radiosa,rostellata ,sp.,tripunctata,viridula,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nitzschia,Eukaryota,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,"acicularis
















",antonii ,brevissima ,desertorum,dissipata ,fonticola,frustulum ,fruticosa ,gracilis,incerta,incognita, inconspicua ,liebetruthii ,linearis,longissima,minuta,palea ,parvula ,pura ,sigma,sigmoidea ,sociabilis,sp.,tryblionella ,tubicola,
Plagioselmis,Eukaryota,Chromista,Cryptista,Cryptophyceae,Pyrenomonadales,Germinigeraceae,Plagioselmis,"lacustris


",nannoplanctica ,prolonga ,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Scenedesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Scenedesmus,"acuminatus










",armatus ,bicaudatus ,dimorphus ,ellipticus ,falcatus,intermedius ,obtusus ,quadricauda,semipulcher,sp. ,subspicatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Skeletonema,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalasssiosirales,Skeletonemataceae,Skeletonema,"costatum

",potamos,sp. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Synechococcus,Prokaryota,Bacteria,Cyanobacteria,Cyanophyceae,Synechococccales,synechococcaceae,Synechococcus,"aquatilis


",nidulans,salinarum,sp. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Synedra,Eukaryota,Chromista,Heterokontophyta,Bacilliariophyceae,Fragilariales,Fragilariaceae,Synedra,"acus


",famelica ,sp. ,ulna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Thalassiosira,Eukaryota,Chromista,Heterokontophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,"decipiens


",eccentrica ,sp.,tenera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
