YearAdj,Season,Secchi,SpecificCond,WaterTemp,DissOrthophos,DissNitrateNitrite,DissAmmonia
1975,Winter,42.45454545454545,2321.0454545454545,8.090909090909092,0.08928571428571429,NA,NA
1975,Spring,28.666666666666668,688.5555555555555,13.61111111111111,0.085,0.3225,NA
1975,Summer,37.59722222222222,1859.013888888889,21.041666666666668,0.06979166666666667,0.20541666666666666,NA
1975,Fall,44.80555555555556,2472.75,17.02777777777778,0.08,0.3016666666666667,NA
1976,Winter,59.861111111111114,4918.333333333333,10.027777777777779,0.08375,0.46375,NA
1976,Spring,40.47435897435897,7524.820512820513,15.794871794871796,0.07703703703703704,0.3425,NA
1976,Summer,49.282051282051285,8709.435897435897,21.53846153846154,0.10388888888888889,0.27185185185185184,NA
1976,Fall,63.794871794871796,9957.115384615385,19.012820512820515,0.12611111111111112,0.4622222222222222,NA
1977,Winter,59.92307692307692,11857.703703703704,10.179487179487179,0.11111111111111112,0.7792592592592593,NA
1977,Spring,50.23076923076923,12151.820512820514,15.448717948717949,0.09518518518518519,0.6866666666666666,NA
1977,Summer,59.333333333333336,13237.74358974359,21.974358974358974,0.10148148148148148,0.39425925925925925,NA
1977,Fall,61.26923076923077,13812.01282051282,18.884615384615383,0.11185185185185186,0.4659259259259259,NA
1978,Winter,31.58974358974359,5726.641025641025,11.487179487179487,0.13,1.1133333333333333,NA
1978,Spring,30.67948717948718,1736.025641025641,16.28205128205128,0.0962962962962963,0.49666666666666665,NA
1978,Summer,32.94871794871795,7285.653846153846,21.935897435897434,0.08518518518518518,0.28444444444444444,NA
1978,Fall,41.98717948717949,7099.025641025641,18.26923076923077,0.08592592592592593,0.26851851851851855,NA
1979,Winter,31.236842105263158,4308.461538461538,9.846153846153847,0.10703703703703704,0.7181481481481482,0.166
1979,Spring,34.46153846153846,3156.0897435897436,15.91025641025641,0.07296296296296297,0.4374074074074074,0.057962962962962966
1979,Summer,34.83783783783784,7010.1621621621625,22.2027027027027,0.065,0.168,0.0338
1979,Fall,51.743589743589745,8716.97435897436,18.705128205128204,0.0937037037037037,0.2809259259259259,0.07037037037037037
1980,Winter,36.714285714285715,5914.5,10.807692307692308,0.07444444444444445,0.355,0.08833333333333333
1980,Spring,41.205128205128204,2720.576923076923,15.615384615384615,0.061481481481481484,0.2959259259259259,0.05240740740740741
1980,Summer,38.756410256410255,5131.025641025641,21.08974358974359,0.07952380952380952,0.26611111111111113,0.04351851851851852
1980,Fall,49.8974358974359,7239.641025641025,16.987179487179485,0.07851851851851852,0.2625,0.0575925925925926
1981,Winter,48.6578947368421,6201.921052631579,10.447368421052632,0.10461538461538462,0.5684615384615385,0.1396153846153846
1981,Spring,45.55263157894737,5326.078947368421,17.276315789473685,0.10692307692307693,0.43846153846153846,0.09326923076923077
1981,Summer,58.88461538461539,8753.78205128205,22.41025641025641,0.09407407407407407,0.2338888888888889,0.049074074074074076
1981,Fall,56.205128205128204,9347.461538461539,18.512820512820515,0.09925925925925926,0.3485185185185185,0.10462962962962963
1982,Winter,38.51282051282051,3062.923076923077,10.76923076923077,0.0932,0.5811111111111111,0.15444444444444444
1982,Spring,43.229729729729726,1254.75,14.894736842105264,0.07307692307692308,0.26403846153846156,0.07596153846153847
1982,Summer,40.833333333333336,3855.128205128205,21.487179487179485,0.07314814814814816,0.2816666666666667,0.056296296296296296
1982,Fall,52.833333333333336,3887.2948717948716,17.397435897435898,0.06666666666666667,0.24,0.05153846153846154
1983,Winter,31.63157894736842,1841.4473684210527,10.421052631578947,0.0726923076923077,0.39576923076923076,0.1
1983,Spring,38.94871794871795,686.7435897435897,13.717948717948717,0.07,0.29555555555555557,0.08444444444444445
1983,Summer,53.333333333333336,2333.0526315789475,22.102564102564102,0.045925925925925926,0.19555555555555557,0.042222222222222223
1983,Fall,61.86486486486486,3244,18.512820512820515,0.054814814814814816,0.3022222222222222,0.05074074074074074
1984,Winter,47.48717948717949,2185.3333333333335,10.512820512820513,0.05,0.43666666666666665,0.07814814814814815
1984,Spring,56.64102564102564,5312.307692307692,15.820512820512821,0.07074074074074074,0.36074074074074075,0.06884615384615385
1984,Summer,54.166666666666664,6211.897435897436,22.487179487179485,0.08222222222222222,0.262037037037037,0.0552
1984,Fall,59.81578947368421,6074.448717948718,18.333333333333332,0.07777777777777778,0.31981481481481483,0.07648148148148148
1985,Winter,59.23076923076923,5218.871794871795,9.35897435897436,0.09666666666666666,0.5218518518518519,0.17
1985,Spring,67.73076923076923,7484.0641025641025,16.025641025641026,0.095,0.44796296296296295,0.11870370370370371
1985,Summer,59.95945945945946,6604.878378378378,22.33783783783784,0.0932,0.3938,0.0546
1985,Fall,80.36486486486487,8479.391891891892,16.824324324324323,0.09875,0.27875,0.06395833333333334
1986,Winter,66.56410256410257,7381.358974358975,10.58974358974359,0.14037037037037037,0.6518518518518519,0.21666666666666667
1986,Spring,36.71052631578947,2102.474358974359,16.141025641025642,0.06444444444444444,0.30777777777777776,0.05962962962962963
1986,Summer,35.2027027027027,4295.608108108108,21.58108108108108,0.0666,0.3094,0.0336
1986,Fall,48.64102564102564,6807.474358974359,16.935897435897434,0.07,0.32222222222222224,0.06685185185185186
