year,station,lat,long
1999,101,36.1234,-121.1234
1999,101,36.1234,-121.1234
1999,102,37.1234,-122.1234
1999,102,37.1234,-122.1234
1999,102,37.1234,-122.1234
1999,103,38.1234,-123.1234
1999,103,38.1234,-123.1234
1999,103,38.1234,-123.1234
2000,101,36.1234,-121.1234
2000,101,36.1234,-121.1234
2000,101,36.1234,-121.1234
2000,101,36.1234,-121.1234
2000,102,37.1234,-122.1234
2000,102,37.1234,-122.1234
2000,102,37.1234,-122.1234
2000,103,38.1234,-123.1234
2000,103,38.1234,-123.1234
2000,103,38.1234,-123.1234
2001,101,36.1234,-121.1234
2001,102,37.1234,-122.1234
2001,102,37.1234,-122.1234
2001,102,37.1234,-122.1234
2001,103,38.1234,-123.1234
2001,103,38.1234,-123.1234
2001,103,38.1234,-123.1234
