taxon,program,region,location,station,year_start,year_end,complete,years_missing_n,sampling_frequency,lat_wgs84,long_wgs84,temp,secchi,ec,notes,macro_meso_micro
benthic,EMP,,,D7-C,1977,,n,2,"pre-1980: 1-3; 1980-present: generally 9-12, except a few years with 4-7",38.11713,-122.0396,y,y,y,"same station as WQ, phyto, zoop; missing years: 1975, 1976",
benthic,EMP,,,D4-L,1975,,n,1,"pre-1980: 1-3; 1980-present: generally 9-12, except a few years with 4-7",38.05812,-121.8193,y,y,y,"same station as WQ, phyto, zoop; missing years: 1976",
benthic,EMP,,,D28A-L,1977,,n,3,"pre-1980: 1-3; 1980-present: generally 9-12, except a few years with 4-7",37.97017,-121.5741,y,y,y,"same station as WQ, phyto, zoop; missing years: 1975, 1976, 1978",
zooplankton,EMP,,,42,1975,2020,y,,"Usually once a month, more in some years",38.18056,-122.0472,y,y,,,
zooplankton,EMP,,,32,1975,2020,y,,"Usually once a month, more in some years",38.17028,-122.0208,y,y,,,
zooplankton,EMP,,,28,1975,2020,y,,"Usually once a month, more in some years",38.11722,-122.0472,y,y,,,
zooplankton,EMP,,,64,1975,2020,y,,"Usually once a month, more in some years",38.08472,-121.7381,y,y,,,
zooplankton,EMP,,,86,1975,2020,y,,"Usually once a month, more in some years",38.07778,-121.5703,y,y,,,
zooplankton,EMP,,,60,1975,2020,y,,"Usually once a month, more in some years",38.06444,-121.8289,y,y,,,
zooplankton,EMP,,,2,1978,2019,n ,16,"varies, 1-17 times per year",38.06028,-122.2069,y,y,,1988-1991 missing; 1994-1997 missing; 2001; 2007-2009; 2013-2016;,
zooplankton,EMP,,,48,1975,2020,y,,"Usually once a month, more in some years",38.06,-121.9958,y,y,,,
zooplankton,EMP,,,325,1978,2019,n ,18,"varies, 1-17 times per year",38.05778,-122.2889,y,y,,1987-1993 missing; 1985; 1995-1996; 2001; 2007-2009; 2012-2013; 2015-2016,
zooplankton,EMP,,,54,1975,2020,y,,"Usually once a month, more in some years",38.04583,-121.9064,y,y,,,
zooplankton,EMP,,,D19,1975,2018,n,10,"Usually once a month, more in some years",38.04389,-121.6136,y,y,,1994-2003 missing,
zooplankton,EMP,,,M10,1975,2020,y,,"Usually once a month, more in some years",38.04361,-121.4264,y,y,,,
zooplankton,EMP,,,D41,1998,2020,n,,"Usually once a month, more in some years",38.03056,-122.3708,y,y,,,
zooplankton,EMP,,,4,1978,2019,n,11,"varies, 1-17 times per year",38.02917,-122.1583,y,y,,"1988-1991 missing; 1994-1997 missing; 2013, 2015, 2020 missing",
zooplankton,EMP,,,74,1975,2020,n,1,"Usually once a month, more in some years",38.02222,-121.8036,y,y,,1994 missing,
zooplankton,EMP,,,D28,1975,2020,y,,"Usually once a month, more in some years",37.98278,-121.5772,y,y,,,
zooplankton,EMP,,,92,1975,2020,y,,"Usually once a month, more in some years",37.97833,-121.3819,y,y,,,
phytoplankton,EMP,,,D7,1975,,y,,,38.11714,-122.0397,y,y,y,,
phytoplankton,EMP,,,D8,1975,,y,,,38.05992,-121.99,y,y,y,,
phytoplankton,EMP,,,C3,1975,,y,,507.6,38.34575,-121.5461,y,y,y,,
phytoplankton,EMP,,,D26,1980,,y,,56.4,38.07664,-121.5669,y,y,y,,
phytoplankton,EMP,,,P8,1975,,y,,564,37.97817,-121.3823,y,y,y,,
phytoplankton,EMP,,,D4-L,1975,,y,,,38.06248,-121.8205,y,y,y,,
fishes,SEIN,,American River,AM001S,1976,2021,45,,4746,38.59935675,-121.5057333,y,y,,,
fishes,SEIN,,Antioch Dunes,SJ001S,1979,2021,42,,11378,38.01480683,-121.7827132,y,y,,,
fishes,SEIN,,B&W Marina,MK004W,1979,2021,42,,4870,38.12746155,-121.5804697,y,y,,,
fishes,SEIN,,Berkeley (Frontage Rd),SA007E,1976,2021,45,,4043,37.85143906,-122.3014014,y,y,,,
fishes,SEIN,,Big Beach,SJ063W,2010,2021,11,,5932,37.72497212,-121.2968653,y,y,,,
fishes,SEIN,,Brennan Island,TM001N,1976,2021,45,,6570,38.11666073,-121.6837998,y,y,,,
fishes,SEIN,,China Camp,SP001W,2010,2021,11,,2074,38.00207391,-122.4672713,y,y,,,
fishes,SEIN,,Clarksburg,SR043W,1976,2021,45,,11596,38.38304913,-121.5208997,y,y,,,
fishes,SEIN,,Colusa (New),SR143W,2019,2021,2,,1515,39.216901,-122.01253,y,y,,,
fishes,SEIN,,Colusa St. Park,SR144W,1981,2021,40,,3646,39.21999207,-122.014965,y,y,,,
fishes,SEIN,,Cruiser Haven,OR014W,2010,2019,9,,1167,37.92148633,-121.5558943,y,y,,,
fishes,SEIN,,Dad's Point,SJ041N,1979,2021,42,,6343,37.95562193,-121.3462528,y,y,,,
fishes,SEIN,,Delta Cross Channel,XC001N,1976,2021,45,,2376,38.24552036,-121.5037624,y,y,,,
fishes,SEIN,,Discovery Park,SR060E,1976,2021,45,,17509,38.60053595,-121.5091653,y,y,,,
fishes,SEIN,,Dos Reis,SJ051E,2010,2021,11,,8011,37.83069661,-121.3113902,y,y,,,
fishes,SEIN,,Durham Site,SJ068W,2010,2021,11,,1621,37.69692686,-121.2721691,y,y,,,
fishes,SEIN,,Eddo's,SJ005N,1976,2021,45,,10797,38.05079336,-121.6994317,y,y,,,
fishes,SEIN,,Elkhorn,SR071E,1981,2021,40,,13544,38.67274584,-121.6248473,y,y,,,
fishes,SEIN,,Franks Tract,OR003W,1994,2017,23,,1735,38.031977,-121.581859,y,y,,,
fishes,SEIN,,Garcia Bend,SR049E,1976,2021,45,,12619,38.47805124,-121.543378,y,y,,,
fishes,SEIN,,Georgiana Slough,GS010E,1976,2021,45,,2720,38.22585563,-121.5271963,y,y,,,
fishes,SEIN,,Isleton,SR017E,1976,2021,45,,7603,38.16272799,-121.6115749,y,y,,,
